datetime;time;load_cell;board_temperature;pressure_macki;pressure_tank;distance;acc_x;acc_y;acc_z;motor1_speed;motor2_speed;procedure_time;mechanical_state;motor1_temperature;motor2_temperature
2024-11-05_10-04-03.994273;112775;-2000.0;22.8125;0.021667;3.927917;92.0;0.017578;0.030273;1.030273;0;0;112870;0;0;0
2024-11-05_10-04-04.119566;112914;-2000.0;22.8125;0.021667;3.927917;92.0;0.016602;0.025391;1.021484;0;0;113000;0;0;0
2024-11-05_10-04-04.262298;112914;-2000.0;22.8125;0.021667;3.927917;92.0;0.016602;0.025391;1.021484;0;0;113145;0;0;0
2024-11-05_10-04-04.429579;113213;-2000.0;22.8125;3.927917;3.927917;94.0;0.012695;0.026367;1.016602;0;0;113310;0;0;0
2024-11-05_10-04-04.590622;113357;-2000.0;22.8125;0.021667;3.927917;93.0;0.013672;0.026367;1.010742;0;0;113480;0;0;0
2024-11-05_10-04-04.773882;113512;-2000.0;22.8125;0.021667;3.927917;94.0;0.014648;0.023438;1.014648;0;0;113649;0;0;0
2024-11-05_10-04-04.907344;113655;-2000.0;22.8125;0.021667;3.927917;94.0;0.014648;0.025391;1.003906;0;0;113788;0;0;0
2024-11-05_10-04-05.158003;113942;-2000.0;22.8125;0.021667;3.9275;93.0;0.010742;0.030273;0.993164;0;0;114035;0;0;0
2024-11-05_10-04-05.243365;113942;-2000.0;22.8125;0.021667;3.9275;93.0;0.010742;0.030273;0.993164;0;0;114117;0;0;0
2024-11-05_10-04-05.375606;114085;-2000.0;22.8125;0.021667;3.927917;94.0;0.010742;0.027344;1.0;0;0;114260;0;0;0
2024-11-05_10-04-05.532474;114224;-2000.0;22.8125;0.021667;3.927917;93.0;0.012695;0.030273;0.999023;0;0;114420;0;0;0
2024-11-05_10-04-05.695234;114502;-2000.0;22.8125;0.021667;3.927917;95.0;0.012695;0.029297;0.990234;0;0;114580;0;0;0
2024-11-05_10-04-05.864219;114646;-2000.0;22.8125;0.021667;3.927917;93.0;0.010742;0.025391;0.998047;0;0;114740;0;0;0
2024-11-05_10-04-06.065046;114795;-2000.0;22.75;0.021667;3.927917;90.0;0.014648;0.027344;1.005859;0;0;114949;0;0;0
2024-11-05_10-04-06.222259;114934;-2000.0;22.8125;0.021667;3.927917;93.0;0.014648;0.026367;1.008789;0;0;115067;0;0;0
2024-11-05_10-04-06.316669;115076;-2000.0;22.8125;0.021667;3.927917;96.0;0.012695;0.032227;1.009766;0;0;115199;0;0;0
2024-11-05_10-04-06.472919;115212;-2000.0;22.8125;0.021667;3.927917;95.0;0.011719;0.029297;1.011719;0;0;115360;0;0;0
2024-11-05_10-04-06.629638;115357;-2000.0;22.75;0.021667;3.927917;94.0;0.013672;0.02832;1.023438;0;0;115519;0;0;0
2024-11-05_10-04-06.805662;115505;-2000.0;22.8125;0.021667;3.927917;94.0;0.014648;0.027344;1.03125;0;0;115679;0;0;0
2024-11-05_10-04-06.956400;115646;-2000.0;22.75;0.021667;3.927917;92.0;0.014648;0.027344;1.026367;0;0;115830;0;0;0
2024-11-05_10-04-07.116276;115806;-2000.0;22.8125;0.021667;3.927917;95.0;0.014648;0.02832;1.017578;0;0;116000;0;0;0
2024-11-05_10-04-07.476856;116250;-2000.0;22.75;0.021667;3.9225;94.0;0.016602;0.025391;1.032227;0;0;116331;0;0;0
2024-11-05_10-04-07.585278;116250;-2000.0;22.75;0.021667;3.9225;94.0;0.016602;0.025391;1.032227;0;0;116458;0;0;0
2024-11-05_10-04-07.743276;116535;-2000.0;22.75;0.02125;3.927917;93.0;0.014648;0.027344;1.020508;0;0;116629;0;0;0
2024-11-05_10-04-07.910034;116673;-2000.0;22.75;0.021667;3.927917;93.0;0.014648;0.024414;1.016602;0;0;116787;0;0;0
2024-11-05_10-04-08.043448;116815;-2000.0;22.75;0.021667;3.927917;94.0;0.011719;0.025391;1.013672;0;0;116930;0;0;0
2024-11-05_10-04-08.350092;117095;-2000.0;22.75;0.021667;3.927917;94.0;0.012695;0.024414;1.008789;0;0;117230;0;0;0
2024-11-05_10-04-08.600854;117375;-2000.0;22.75;0.021667;3.927917;94.0;0.012695;0.025391;0.996094;0;0;117465;0;0;0
2024-11-05_10-04-08.679219;117375;-2000.0;22.75;0.021667;3.927917;94.0;0.012695;0.025391;0.996094;0;0;117549;0;0;0
2024-11-05_10-04-08.883248;117655;-2000.0;22.75;0.021667;3.9275;93.0;0.014648;0.022461;0.996094;0;0;117759;0;0;0
2024-11-05_10-04-08.977056;117655;-2000.0;22.75;0.021667;3.9275;93.0;0.014648;0.022461;0.996094;0;0;117859;0;0;0
2024-11-05_10-04-09.148930;117935;-2000.0;22.75;0.021667;3.92625;91.0;0.010742;0.032227;1.001953;0;0;118018;0;0;0
2024-11-05_10-04-09.320893;118074;-2000.0;22.75;0.021667;3.92625;93.0;0.008789;0.02832;1.007812;0;0;118187;0;0;0
2024-11-05_10-04-09.477573;118215;-2000.0;22.75;0.021667;3.92375;93.0;0.014648;0.025391;1.008789;0;0;118350;0;0;0
2024-11-05_10-04-09.633878;118360;-2000.0;22.75;0.021667;3.92375;94.0;0.016602;0.026367;1.001953;0;0;118514;0;0;0
2024-11-05_10-04-09.842113;118516;-2000.0;22.75;0.021667;3.9225;91.0;0.010742;0.025391;1.015625;0;0;118707;0;0;0
2024-11-05_10-04-10.035546;118789;-2000.0;22.75;0.316667;3.772917;94.0;0.012695;0.025391;1.022461;0;0;118906;0;0;0
2024-11-05_10-04-10.067413;118789;-2000.0;22.75;0.316667;3.772917;94.0;0.012695;0.025391;1.022461;0;0;118950;0;0;0
2024-11-05_10-04-10.395439;119092;-2000.0;22.75;0.6825;3.7525;92.0;0.013672;0.03125;1.026367;0;0;119280;0;0;0
2024-11-05_10-04-10.584773;119236;-2000.0;22.75;0.766667;3.73875;93.0;0.012695;0.03125;1.02832;0;0;119459;0;0;0
2024-11-05_10-04-10.762225;119525;-2000.0;22.75;0.868333;3.727917;92.0;0.013672;0.029297;1.033203;0;0;119649;0;0;0
2024-11-05_10-04-10.978836;119662;-2000.0;22.75;0.906667;3.722917;94.0;0.015625;0.024414;1.032227;0;0;119853;0;0;0
2024-11-05_10-04-11.045600;119805;-2000.0;22.75;0.933333;3.7225;94.0;0.012695;0.027344;1.025391;0;0;119907;0;0;0
2024-11-05_10-04-11.414646;119943;-2000.0;22.75;0.953333;3.7225;94.0;0.012695;0.023438;1.027344;0;0;120058;0;0;0
2024-11-05_10-04-11.493564;120222;-2000.0;22.75;0.964583;3.721667;91.0;0.015625;0.022461;1.03125;0;0;120370;0;0;0
2024-11-05_10-04-11.646301;120365;-2000.0;22.6875;0.965417;3.7225;93.0;0.012695;0.025391;1.022461;0;0;120520;0;0;0
2024-11-05_10-04-11.964088;120645;-2000.0;22.6875;0.970833;3.722917;94.0;0.009766;0.030273;1.016602;0;0;120832;0;0;0
2024-11-05_10-04-12.121688;120782;-2000.0;22.75;0.970833;3.722917;94.0;0.012695;0.024414;1.016602;0;0;120998;0;0;0
2024-11-05_10-04-12.294194;121063;-2000.0;22.6875;0.97125;3.722917;97.0;0.013672;0.023438;1.001953;0;0;121158;0;0;0
2024-11-05_10-04-12.451046;121207;-2000.0;22.6875;0.970833;3.722917;94.0;0.011719;0.024414;1.017578;0;0;121317;0;0;0
2024-11-05_10-04-12.655585;121355;-2000.0;22.6875;0.970833;3.722917;89.0;0.011719;0.02832;1.020508;0;0;121536;0;0;0
2024-11-05_10-04-12.984981;121498;-2000.0;22.6875;0.969583;3.722917;92.0;0.013672;0.02832;1.036133;0;0;121630;0;0;0
2024-11-05_10-04-13.063803;121786;-2000.0;22.6875;0.965417;3.724583;92.0;0.012695;0.03125;1.040039;0;0;121940;0;0;0
2024-11-05_10-04-13.846973;122507;-2000.0;22.6875;0.970833;3.7275;94.0;0.016602;0.032227;1.055664;0;0;122720;0;0;0
2024-11-05_10-04-13.999054;122795;-2000.0;22.6875;0.750417;3.727917;94.0;0.014648;0.035156;1.073242;0;0;122879;0;0;0
2024-11-05_10-04-14.218542;122937;-2000.0;22.6875;0.6475;3.727917;92.0;0.012695;0.027344;1.079102;0;0;123099;0;0;0
2024-11-05_10-04-14.326520;123082;-2000.0;22.6875;0.555417;3.727917;94.0;0.018555;0.02832;1.080078;0;0;123207;0;0;0
2024-11-05_10-04-14.476150;123225;-2000.0;22.6875;0.462083;3.728333;94.0;0.013672;0.035156;1.075195;0;0;123358;0;0;0
2024-11-05_10-04-14.709550;123364;-2000.0;22.6875;0.3475;3.72875;95.0;0.013672;0.032227;1.078125;0;0;123544;0;0;0
2024-11-05_10-04-14.792929;123505;-2000.0;22.6875;0.205;3.730834;93.0;0.019531;0.026367;1.083984;0;0;123674;0;0;0
2024-11-05_10-04-14.942834;123644;-2000.0;22.6875;0.0875;3.732917;97.0;0.017578;0.02832;1.073242;0;0;123830;0;0;0
2024-11-05_10-04-15.126020;123785;-2000.0;22.6875;0.03;3.73375;96.0;0.016602;0.027344;1.068359;0;0;124000;0;0;0
2024-11-05_10-04-15.377346;124073;-2000.0;22.6875;0.021667;3.733333;94.0;0.015625;0.027344;1.058594;0;0;124250;0;0;0
2024-11-05_10-04-15.533886;124231;-2000.0;22.6875;0.021667;3.73375;93.0;0.015625;0.024414;1.055664;0;0;124420;0;0;0
2024-11-05_10-04-15.596403;124382;-2000.0;22.6875;0.021667;3.733333;93.0;0.013672;0.021484;1.050781;0;0;124471;0;0;0
2024-11-05_10-04-15.752996;124529;-2000.0;22.6875;0.021667;3.73375;95.0;0.014648;0.020508;1.040039;0;0;124630;0;0;0
2024-11-05_10-04-16.035323;124815;-2000.0;22.6875;0.021667;3.733333;92.0;0.010742;0.027344;1.029297;0;0;124899;0;0;0
2024-11-05_10-04-16.208375;124952;-2000.0;22.6875;0.021667;3.733333;93.0;0.010742;0.023438;1.015625;0;0;125080;0;0;0
2024-11-05_10-04-16.475719;125232;-2000.0;22.6875;0.021667;3.733333;93.0;0.012695;0.025391;1.007812;0;0;125350;0;0;0
2024-11-05_10-04-16.632874;125380;-2000.0;22.6875;0.021667;3.733333;94.0;0.011719;0.02832;1.014648;0;0;125509;0;0;0
2024-11-05_10-04-16.696012;125380;-2000.0;22.6875;0.021667;3.733333;94.0;0.011719;0.02832;1.014648;0;0;125569;0;0;0
2024-11-05_10-04-16.837155;125525;-2000.0;22.6875;0.021667;3.733333;93.0;0.009766;0.030273;1.014648;0;0;125710;0;0;0
2024-11-05_10-04-16.994221;125662;-2000.0;22.6875;0.021667;3.733333;93.0;0.010742;0.02832;1.016602;0;0;125870;0;0;0
2024-11-05_10-04-17.152386;125940;-2000.0;22.6875;0.021667;3.734167;94.0;0.008789;0.029297;1.010742;0;0;126024;0;0;0
2024-11-05_10-04-17.324438;126076;-2000.0;22.6875;0.021667;3.734167;93.0;0.009766;0.035156;1.02832;0;0;126209;0;0;0
2024-11-05_10-04-17.465881;126222;-2000.0;22.6875;0.021667;3.737084;92.0;0.010742;0.032227;1.040039;0;0;126340;0;0;0
2024-11-05_10-04-17.623713;126365;-2000.0;22.6875;0.021667;3.738333;94.0;0.015625;0.02832;1.043945;0;0;126499;0;0;0
2024-11-05_10-04-17.781436;126505;-2000.0;22.6875;0.021667;3.73875;94.0;0.014648;0.024414;1.060547;0;0;126660;0;0;0
2024-11-05_10-04-17.924163;126650;-2000.0;22.6875;0.021667;3.73875;94.0;0.013672;0.030273;1.073242;0;0;126803;0;0;0
2024-11-05_10-04-18.174153;126946;-2000.0;22.625;0.021667;3.73875;93.0;0.017578;0.026367;1.094727;0;0;127044;0;0;0
2024-11-05_10-04-18.292596;126946;-2000.0;22.625;0.021667;3.73875;93.0;0.017578;0.026367;1.094727;0;0;127138;0;0;0
2024-11-05_10-04-18.567548;127245;-2000.0;22.625;0.021667;3.73875;94.0;0.014648;0.02832;1.106445;0;0;127450;0;0;0
2024-11-05_10-04-18.744991;127404;-2000.0;22.625;0.021667;3.73875;92.0;0.016602;0.026367;1.103516;0;0;127619;0;0;0
2024-11-05_10-04-18.870124;127546;-2000.0;22.625;0.021667;3.73875;95.0;0.015625;0.029297;1.102539;0;0;127750;0;0;0
2024-11-05_10-04-19.045538;127695;-2000.0;22.625;0.021667;3.73875;94.0;0.013672;0.02832;1.086914;0;0;127911;0;0;0
2024-11-05_10-04-19.167585;127975;-2000.0;22.6875;0.021667;3.73875;92.0;0.014648;0.029297;1.069336;0;0;128054;0;0;0
2024-11-05_10-04-19.334113;128115;-2000.0;22.625;0.021667;3.739166;94.0;0.015625;0.02832;1.054688;0;0;128220;0;0;0
2024-11-05_10-04-19.534026;128258;-2000.0;22.625;0.021667;3.73875;93.0;0.012695;0.030273;1.048828;0;0;128390;0;0;0
2024-11-05_10-04-19.650662;128406;-2000.0;22.625;0.021667;3.73875;94.0;0.012695;0.029297;1.045898;0;0;128540;0;0;0
2024-11-05_10-04-19.836406;128545;-2000.0;22.625;0.021667;3.73875;94.0;0.015625;0.02832;1.030273;0;0;128710;0;0;0
2024-11-05_10-04-20.049300;128832;-2000.0;22.625;3.73875;3.73875;94.0;0.012695;0.030273;1.018555;0;0;128916;0;0;0
2024-11-05_10-04-20.137252;128832;-2000.0;22.625;3.73875;3.73875;94.0;0.012695;0.030273;1.018555;0;0;129010;0;0;0
2024-11-05_10-04-20.294296;128975;-2000.0;22.625;0.021667;3.73875;94.0;0.007812;0.030273;1.013672;0;0;129170;0;0;0
2024-11-05_10-04-20.450690;129115;-2000.0;22.625;0.021667;3.73875;94.0;0.008789;0.025391;1.012695;0;0;129318;0;0;0
2024-11-05_10-04-20.607861;129392;-2000.0;22.625;0.021667;3.73875;93.0;0.010742;0.024414;0.999023;0;0;129480;0;0;0
2024-11-05_10-04-20.749429;129531;-2000.0;22.625;0.021667;3.73875;94.0;0.011719;0.033203;1.010742;0;0;129630;0;0;0
2024-11-05_10-04-20.921438;129684;-2000.0;22.625;3.73875;3.739166;92.0;0.011719;0.026367;1.015625;0;0;129792;0;0;0
2024-11-05_10-04-21.079377;129825;-2000.0;22.625;0.021667;3.73875;94.0;0.013672;0.029297;1.021484;0;0;129962;0;0;0
2024-11-05_10-04-21.236532;129983;-2000.0;22.625;0.021667;3.73875;94.0;0.011719;0.027344;1.013672;0;0;130110;0;0;0
2024-11-05_10-04-21.393685;130128;-2000.0;22.625;0.021667;3.73875;92.0;0.012695;0.024414;1.011719;0;0;130262;0;0;0
2024-11-05_10-04-21.536152;130283;-2000.0;22.625;0.021667;3.73875;94.0;0.011719;0.03418;1.024414;0;0;130410;0;0;0
2024-11-05_10-04-21.692044;130432;-2000.0;22.625;3.73875;3.73875;94.0;0.009766;0.032227;1.019531;0;0;130570;0;0;0
2024-11-05_10-04-21.864594;130575;-2000.0;22.625;0.021667;3.73875;94.0;0.008789;0.03125;1.026367;0;0;130730;0;0;0
2024-11-05_10-04-22.038233;130712;-2000.0;22.625;0.021667;3.73875;96.0;0.010742;0.027344;1.023438;0;0;130886;0;0;0
2024-11-05_10-04-22.163873;130858;-2000.0;22.625;0.021667;3.73875;96.0;0.013672;0.027344;1.018555;0;0;131040;0;0;0
2024-11-05_10-04-22.337069;131006;-2000.0;22.625;0.021667;3.73875;94.0;0.011719;0.026367;1.012695;0;0;131219;0;0;0
2024-11-05_10-04-22.493891;131155;-2000.0;22.625;0.021667;3.73875;94.0;0.011719;0.027344;1.02832;0;0;131350;0;0;0
2024-11-05_10-04-22.636094;131295;-2000.0;22.625;0.021667;3.73875;90.0;0.012695;0.03125;1.02832;0;0;131500;0;0;0
2024-11-05_10-04-22.808587;131575;-2000.0;22.625;0.021667;3.73875;93.0;0.012695;0.025391;1.022461;0;0;131682;0;0;0
2024-11-05_10-04-22.950083;131716;-2000.0;22.625;0.021667;3.74;93.0;0.011719;0.023438;1.013672;0;0;131830;0;0;0
2024-11-05_10-04-23.106276;131865;-2000.0;22.625;0.021667;3.73875;93.0;0.010742;0.027344;1.026367;0;0;131979;0;0;0
2024-11-05_10-04-23.278533;132006;-2000.0;22.625;0.021667;3.73875;95.0;0.008789;0.026367;1.022461;0;0;132150;0;0;0
2024-11-05_10-04-23.434790;132143;-2000.0;22.5625;0.021667;3.73875;95.0;0.010742;0.023438;1.016602;0;0;132300;0;0;0
2024-11-05_10-04-23.591787;132291;-2000.0;22.625;0.021667;3.741667;93.0;0.010742;0.023438;1.005859;0;0;132460;0;0;0
2024-11-05_10-04-23.754695;132435;-2000.0;22.625;0.021667;3.7475;94.0;0.008789;0.023438;1.010742;0;0;132630;0;0;0
2024-11-05_10-04-23.905580;132592;-2000.0;22.625;0.021667;3.7475;93.0;0.011719;0.019531;1.011719;0;0;132770;0;0;0
2024-11-05_10-04-24.047629;132746;-2000.0;22.5625;0.021667;3.74375;94.0;0.012695;0.025391;1.013672;0;0;132930;0;0;0
2024-11-05_10-04-24.204402;132901;-2000.0;22.625;0.021667;3.742084;93.0;0.011719;0.027344;1.011719;0;0;133080;0;0;0
2024-11-05_10-04-24.361071;133055;-2000.0;22.5625;3.74625;3.74625;93.0;0.013672;0.025391;1.015625;0;0;133240;0;0;0
2024-11-05_10-04-24.549682;133197;-2000.0;22.625;0.021667;3.7475;93.0;0.011719;0.025391;1.017578;0;0;133413;0;0;0
2024-11-05_10-04-24.675357;133350;-2000.0;22.5625;0.021667;3.7475;95.0;0.013672;0.026367;1.03418;0;0;133550;0;0;0
2024-11-05_10-04-24.942999;133636;-2000.0;22.5625;0.021667;3.747083;94.0;0.011719;0.032227;1.03125;0;0;133808;0;0;0
2024-11-05_10-04-24.990263;133782;-2000.0;22.5625;0.021667;3.746667;91.0;0.011719;0.02832;1.027344;0;0;133870;0;0;0
2024-11-05_10-04-25.162283;133931;-2000.0;22.5625;0.021667;3.74625;93.0;0.008789;0.030273;1.030273;0;0;134039;0;0;0
2024-11-05_10-04-25.318995;134075;-2000.0;22.5625;0.02125;3.744167;93.0;0.008789;0.02832;1.022461;0;0;134180;0;0;0
2024-11-05_10-04-25.507681;134215;-2000.0;22.5625;0.021667;3.746667;93.0;0.007812;0.02832;1.021484;0;0;134391;0;0;0
2024-11-05_10-04-25.758397;134355;-2000.0;22.5625;0.021667;3.74625;93.0;0.008789;0.030273;1.016602;0;0;134489;0;0;0
2024-11-05_10-04-25.931581;134646;-2000.0;22.5625;0.021667;3.7475;94.0;0.011719;0.027344;0.998047;0;0;134810;0;0;0
2024-11-05_10-04-26.104468;134786;-2000.0;22.5625;0.021667;3.73875;94.0;0.010742;0.024414;0.984375;0;0;134970;0;0;0
2024-11-05_10-04-26.245741;134932;-2000.0;22.5625;0.021667;3.73875;97.0;0.007812;0.025391;0.984375;0;0;135120;0;0;0
2024-11-05_10-04-26.417694;135075;-2000.0;22.5625;0.021667;3.7475;95.0;0.011719;0.027344;0.987305;0;0;135271;0;0;0
2024-11-05_10-04-26.575388;135372;-2000.0;22.5625;0.021667;3.7475;92.0;0.008789;0.02832;0.988281;0;0;135453;0;0;0
2024-11-05_10-04-26.716502;135372;-2000.0;22.5625;0.021667;3.7475;92.0;0.008789;0.02832;0.988281;0;0;135590;0;0;0
2024-11-05_10-04-26.936613;135673;-2000.0;22.5625;3.747083;3.7475;95.0;0.005859;0.027344;1.006836;0;0;135805;0;0;0
2024-11-05_10-04-27.046408;135818;-2000.0;22.5625;0.021667;3.746667;95.0;0.009766;0.027344;1.007812;0;0;135922;0;0;0
2024-11-05_10-04-27.187725;135973;-2000.0;22.5625;0.021667;3.7475;95.0;0.008789;0.024414;0.989258;0;0;136060;0;0;0
2024-11-05_10-04-27.361667;136115;-2000.0;22.5625;0.021667;3.7475;93.0;0.011719;0.02832;0.987305;0;0;136229;0;0;0
2024-11-05_10-04-27.502233;136250;-2000.0;22.5625;0.021667;3.747083;94.0;0.008789;0.029297;0.992188;0;0;136380;0;0;0
2024-11-05_10-04-27.658703;136396;-2000.0;22.5625;0.02125;3.7475;95.0;0.007812;0.02832;1.006836;0;0;136520;0;0;0
2024-11-05_10-04-27.831294;136545;-2000.0;22.5625;0.021667;3.7475;92.0;0.009766;0.02832;1.013672;0;0;136709;0;0;0
2024-11-05_10-04-28.066527;136833;-2000.0;22.5625;0.02125;3.7475;94.0;0.009766;0.025391;1.014648;0;0;136939;0;0;0
2024-11-05_10-04-28.113402;136833;-2000.0;22.5625;0.02125;3.7475;94.0;0.009766;0.025391;1.014648;0;0;136990;0;0;0
2024-11-05_10-04-28.270068;136975;-2000.0;22.5625;0.021667;3.74625;92.0;0.011719;0.02832;1.006836;0;0;137150;0;0;0
2024-11-05_10-04-28.552785;137255;-2000.0;22.5625;0.021667;3.7475;94.0;0.007812;0.03125;1.017578;0;0;137413;0;0;0
2024-11-05_10-04-28.740418;137525;-2000.0;22.5625;0.021667;3.747083;92.0;0.009766;0.025391;0.993164;0;0;137609;0;0;0
2024-11-05_10-04-29.210878;137942;-2000.0;22.5625;0.021667;3.744583;91.0;0.008789;0.026367;0.979492;0;0;138082;0;0;0
2024-11-05_10-04-29.390358;138088;-2000.0;22.5625;0.021667;3.744583;95.0;0.007812;0.02832;0.975586;0;0;138260;0;0;0
2024-11-05_10-04-29.531796;138236;-2000.0;22.5625;0.021667;3.744583;96.0;0.008789;0.027344;0.985352;0;0;138410;0;0;0
2024-11-05_10-04-29.800621;138542;-2000.0;22.5625;0.021667;3.745417;94.0;0.006836;0.030273;0.99707;0;0;138666;0;0;0
2024-11-05_10-04-30.100624;138826;-2000.0;22.5;0.021667;3.7475;92.0;0.005859;0.027344;1.021484;0;0;138963;0;0;0
2024-11-05_10-04-30.200527;138826;-2000.0;22.5;0.021667;3.7475;92.0;0.005859;0.027344;1.021484;0;0;139042;0;0;0
2024-11-05_10-04-30.317496;138975;-2000.0;22.5625;0.021667;3.742917;93.0;0.009766;0.02832;1.036133;0;0;139191;0;0;0
2024-11-05_10-04-30.463944;139255;-2000.0;22.5;0.021667;3.742917;93.0;0.010742;0.026367;1.043945;0;0;139340;0;0;0
2024-11-05_10-04-30.620202;139395;-2000.0;22.5625;0.021667;3.743334;92.0;0.011719;0.02832;1.044922;0;0;139490;0;0;0
2024-11-05_10-04-30.778108;139536;-2000.0;22.5625;0.021667;3.742917;93.0;0.011719;0.029297;1.024414;0;0;139650;0;0;0
2024-11-05_10-04-30.934300;139688;-2000.0;22.5625;0.021667;3.745417;94.0;0.009766;0.02832;1.001953;0;0;139810;0;0;0
2024-11-05_10-04-31.091604;139836;-2000.0;22.5;0.021667;3.7425;93.0;0.010742;0.030273;0.992188;0;0;139969;0;0;0
2024-11-05_10-04-31.248579;139972;-2000.0;22.5625;0.021667;3.742917;94.0;0.005859;0.03125;0.97168;0;0;140120;0;0;0
2024-11-05_10-04-31.405384;140115;-2000.0;22.5;0.021667;3.74;94.0;0.00293;0.026367;0.962891;0;0;140279;0;0;0
2024-11-05_10-04-31.577641;140253;-2000.0;22.5625;3.740834;3.73875;94.0;0.00293;0.02832;0.939453;0;0;140439;0;0;0
2024-11-05_10-04-31.734871;140395;-2000.0;22.5;0.021667;3.7475;93.0;0.00293;0.026367;0.915039;0;0;140598;0;0;0
2024-11-05_10-04-31.876453;140675;-2000.0;22.5;0.021667;3.74;96.0;0.001953;0.027344;0.901367;0;0;140750;0;0;0
2024-11-05_10-04-32.033620;140812;-2000.0;22.5;0.021667;3.73875;94.0;0.003906;0.029297;0.894531;0;0;140900;0;0;0
2024-11-05_10-04-32.206057;140965;-2000.0;22.5;3.73875;3.73875;95.0;0.003906;0.023438;0.886719;0;0;141080;0;0;0
2024-11-05_10-04-32.440629;141107;-2000.0;22.5;0.021667;3.73875;96.0;0.000977;0.025391;0.876953;0;0;141306;0;0;0
2024-11-05_10-04-32.503683;141263;-2000.0;22.5;0.021667;3.73875;93.0;-0.004883;0.026367;0.879883;0;0;141372;0;0;0
2024-11-05_10-04-32.644744;141404;-2000.0;22.5;0.021667;3.73875;92.0;0.000977;0.030273;0.897461;0;0;141520;0;0;0
2024-11-05_10-04-32.848885;141541;-2000.0;22.5;3.73875;3.739166;94.0;0.001953;0.03125;0.912109;0;0;141719;0;0;0
2024-11-05_10-04-32.974352;141690;-2000.0;22.5;0.021667;3.73875;90.0;0.00293;0.03125;0.911133;0;0;141833;0;0;0
2024-11-05_10-04-33.148085;141842;-2000.0;22.5;0.021667;3.73875;94.0;0.000977;0.026367;0.936523;0;0;141999;0;0;0
2024-11-05_10-04-33.273079;141991;-2000.0;22.5;0.021667;3.739166;95.0;0.00293;0.029297;0.96582;0;0;142150;0;0;0
2024-11-05_10-04-33.429694;142135;-2000.0;22.5;0.021667;3.73875;92.0;0.003906;0.032227;0.981445;0;0;142299;0;0;0
2024-11-05_10-04-33.664511;142416;-2000.0;22.5;0.02125;3.73875;95.0;0.007812;0.025391;1.000977;0;0;142536;0;0;0
2024-11-05_10-04-33.742930;142416;-2000.0;22.5;0.02125;3.73875;95.0;0.007812;0.025391;1.000977;0;0;142611;0;0;0
2024-11-05_10-04-33.905257;142690;-2000.0;22.5;0.021667;3.73875;94.0;0.009766;0.029297;1.019531;0;0;142772;0;0;0
2024-11-05_10-04-34.056941;142838;-2000.0;22.5;0.021667;3.73875;93.0;0.009766;0.025391;1.035156;0;0;142930;0;0;0
2024-11-05_10-04-34.307649;142985;-2000.0;22.5;0.021667;3.73875;94.0;0.008789;0.025391;1.044922;0;0;143175;0;0;0
2024-11-05_10-04-34.370062;143122;-2000.0;22.5;0.021667;3.73875;93.0;0.009766;0.022461;1.035156;0;0;143250;0;0;0
2024-11-05_10-04-34.542359;143273;-2000.0;22.5;0.021667;3.73875;93.0;0.008789;0.026367;1.017578;0;0;143410;0;0;0
2024-11-05_10-04-34.683938;143418;-2000.0;22.5;0.021667;3.73875;94.0;0.007812;0.026367;1.006836;0;0;143560;0;0;0
2024-11-05_10-04-34.856277;143563;-2000.0;22.5;0.021667;3.73875;92.0;0.003906;0.024414;0.996094;0;0;143721;0;0;0
2024-11-05_10-04-34.998562;143706;-2000.0;22.5;0.021667;3.73875;92.0;0.004883;0.025391;0.987305;0;0;143870;0;0;0
2024-11-05_10-04-35.155607;143856;-2000.0;22.5;0.021667;3.739166;91.0;0.006836;0.027344;0.970703;0;0;144030;0;0;0
2024-11-05_10-04-35.311860;144012;-2000.0;22.5;0.021667;3.73875;92.0;0.006836;0.027344;0.946289;0;0;144191;0;0;0
2024-11-05_10-04-35.485916;144162;-2000.0;22.5;0.021667;3.73875;95.0;0.006836;0.024414;0.942383;0;0;144360;0;0;0
2024-11-05_10-04-35.626184;144313;-2000.0;22.5;0.021667;3.739166;92.0;0.00293;0.026367;0.93457;0;0;144500;0;0;0
2024-11-05_10-04-35.767349;144463;-2000.0;22.5;0.021667;3.73875;94.0;0.000977;0.02832;0.919922;0;0;144646;0;0;0
2024-11-05_10-04-35.940082;144622;-2000.0;22.5;3.73875;3.73875;92.0;0.003906;0.03125;0.928711;0;0;144819;0;0;0
2024-11-05_10-04-36.114116;144913;-2000.0;22.5;0.021667;3.739166;93.0;0.004883;0.024414;0.926758;0;0;144991;0;0;0
2024-11-05_10-04-36.365169;145058;-2000.0;22.5;0.021667;3.739166;93.0;0.004883;0.033203;0.932617;0;0;145239;0;0;0
2024-11-05_10-04-36.427310;145205;-2000.0;22.5;0.021667;3.73875;94.0;0.00293;0.029297;0.951172;0;0;145300;0;0;0
2024-11-05_10-04-36.600288;145348;-2000.0;22.5;0.021667;3.73875;95.0;0.00293;0.032227;0.981445;0;0;145469;0;0;0
2024-11-05_10-04-36.725423;145495;-2000.0;22.5;0.021667;3.739166;93.0;0.00293;0.027344;0.993164;0;0;145600;0;0;0
2024-11-05_10-04-36.882376;145636;-2000.0;22.5;0.021667;3.73875;91.0;0.006836;0.03125;1.018555;0;0;145760;0;0;0
